Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003002005,0,Москва,Новослободская,45 стр 12,45, , ,стр,12,стр 12,Нежил,"Москва, Новослободская, 45 стр 12",C1,"37,593128","55,783612",10,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002006,0,Москва,Лесная,55,55, , , , , ,Нежил,"Москва, Лесная, 55",C1,"37,593015","55,781722",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002007,0,Москва,Новослободская,45 стр 5,45, , ,стр,5,стр 5,Нежил,"Москва, Новослободская, 45 стр 5",C1,"37,593989","55,784518",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002008,0,Москва,Лесная,57,57, , , , , ,Нежил,"Москва, Лесная, 57",C1,"37,5932","55,78184",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002009,0,Москва,Лесная,59 стр 1,59, , ,стр,1,стр 1,Нежил,"Москва, Лесная, 59 стр 1",C1,"37,593394","55,78199",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002010,0,Москва,Новослободская,45 стр 7,45, , ,стр,7,стр 7,Нежил,"Москва, Новослободская, 45 стр 7",C1,"37,593464","55,783096",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002011,0,Москва,Лесная,61 стр 4,61, , ,стр,4,стр 4,Нежил,"Москва, Лесная, 61 стр 4",C1,"37,593918","55,782828",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002012,0,Москва,Новослободская,45 стр 11,45, , ,стр,11,стр 11,Нежил,"Москва, Новослободская, 45 стр 11",C1,"37,594497","55,784032",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002013,0,Москва,Новослободская,45 стр 2,45, , ,стр,2,стр 2,Нежил,"Москва, Новослободская, 45 стр 2",C1,"37,593929","55,784528",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002014,0,Москва,Новослободская,45 стр 8,45, , ,стр,8,стр 8,Нежил,"Москва, Новослободская, 45 стр 8",C1,"37,593896","55,78313",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002015,0,Москва,Новослободская,45 стр 1,45, , ,стр,1,стр 1,Нежил,"Москва, Новослободская, 45 стр 1",C1,"37,594742","55,785406",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002016,0,Москва,Новослободская,45 стр 10,45, , ,стр,10,стр 10,Нежил,"Москва, Новослободская, 45 стр 10",C1,"37,594804","55,784903",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002017,0,Москва,Новослободская,45 кор Б,45,кор,Б, , , ,Нежил,"Москва, Новослободская, 45 кор Б",C1,"37,5954","55,784804",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002018,0,Москва,Новослободская,45 стр 9,45, , ,стр,9,стр 9,Нежил,"Москва, Новослободская, 45 стр 9",C1,"37,595254","55,784458",10,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003002524,0,Москва,Миусская площадь,9 стр 10,9, , ,стр,10,стр 10,Нежил,"Москва, Миусская площадь, 9 стр 10",B7,"37,596703","55,778843",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002525,0,Москва,Миусская площадь,9 стр 30,9, , ,стр,30,стр 30,Нежил,"Москва, Миусская площадь, 9 стр 30",B7,"37,596004","55,778861",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003002526,0,Москва,Миусская площадь,9 стр 31,9, , ,стр,31,стр 31,Нежил,"Москва, Миусская площадь, 9 стр 31",B7,"37,595894","55,77833",5,15,active, ,0,0,0, ,0, ,15
